M	d	Method	asymp_opt_power	Trial	Value
2	1898	Unweighted SVD-Stack	0.0	99	0.030755799705990013
2	1898	Weighted SVD-Stack	0.0	0	0.0051796296418921955
2	1898	Weighted SVD-Stack	0.0	1	0.0007746564587269591
2	1898	Weighted SVD-Stack	0.0	2	0.007103883566087697
2	1898	Weighted SVD-Stack	0.0	3	0.045108775307691536
2	1898	Weighted SVD-Stack	0.0	4	0.03610527121590974
2	1898	Weighted SVD-Stack	0.0	5	0.18339545382129194
2	1898	Weighted SVD-Stack	0.0	6	0.02193505989516195
2	1898	Weighted SVD-Stack	0.0	7	0.03758127138967961
2	1898	Weighted SVD-Stack	0.0	8	0.00045754377984093107
2	1898	Weighted SVD-Stack	0.0	9	0.0029805362323508154
2	1898	Weighted SVD-Stack	0.0	10	0.028272789604883414
2	1898	Weighted SVD-Stack	0.0	11	0.017624541563355946
2	1898	Weighted SVD-Stack	0.0	12	0.0465328914940934
2	1898	Weighted SVD-Stack	0.0	13	0.048847204928817
2	1898	Weighted SVD-Stack	0.0	14	0.003969999234874288
2	1898	Weighted SVD-Stack	0.0	15	0.008680807701483093
2	1898	Weighted SVD-Stack	0.0	16	0.046577917000583745
2	1898	Weighted SVD-Stack	0.0	17	0.001195950857672384
2	1898	Weighted SVD-Stack	0.0	18	0.004540713641411249
2	1898	Weighted SVD-Stack	0.0	19	0.00034729248245900625
2	1898	Weighted SVD-Stack	0.0	20	0.035717343271802364
2	1898	Weighted SVD-Stack	0.0	21	0.0018493960179605223
2	1898	Weighted SVD-Stack	0.0	22	0.03300369672444231
2	1898	Weighted SVD-Stack	0.0	23	0.07267468437522996
2	1898	Weighted SVD-Stack	0.0	24	0.003881992469905267
2	1898	Weighted SVD-Stack	0.0	25	0.04908835829760352
2	1898	Weighted SVD-Stack	0.0	26	0.00035326589408746434
2	1898	Weighted SVD-Stack	0.0	27	0.09557173534328363
2	1898	Weighted SVD-Stack	0.0	28	0.0015521324028247377
2	1898	Weighted SVD-Stack	0.0	29	0.04289633588380033
2	1898	Weighted SVD-Stack	0.0	30	0.036035275778396415
2	1898	Weighted SVD-Stack	0.0	31	0.008283243121369334
2	1898	Weighted SVD-Stack	0.0	32	0.05194190714111245
2	1898	Weighted SVD-Stack	0.0	33	0.07860388399648602
2	1898	Weighted SVD-Stack	0.0	34	0.05210611418393286
2	1898	Weighted SVD-Stack	0.0	35	0.0276997186297188
2	1898	Weighted SVD-Stack	0.0	36	0.05707831314162993
2	1898	Weighted SVD-Stack	0.0	37	0.014231609857058493
2	1898	Weighted SVD-Stack	0.0	38	0.08945904267855727
2	1898	Weighted SVD-Stack	0.0	39	0.08724577892518173
2	1898	Weighted SVD-Stack	0.0	40	0.0450724313677256
2	1898	Weighted SVD-Stack	0.0	41	0.0489473835379212
2	1898	Weighted SVD-Stack	0.0	42	0.04965111525211569
2	1898	Weighted SVD-Stack	0.0	43	0.12449733942327645
2	1898	Weighted SVD-Stack	0.0	44	0.11669886251313595
2	1898	Weighted SVD-Stack	0.0	45	0.010150212850193163
2	1898	Weighted SVD-Stack	0.0	46	0.08839173836443695
2	1898	Weighted SVD-Stack	0.0	47	0.04233317657916317
2	1898	Weighted SVD-Stack	0.0	48	0.004582690129542261
2	1898	Weighted SVD-Stack	0.0	49	0.06339295137608736
2	1898	Weighted SVD-Stack	0.0	50	0.11708510076287683
2	1898	Weighted SVD-Stack	0.0	51	0.07985069182107157
2	1898	Weighted SVD-Stack	0.0	52	0.10384897405509003
2	1898	Weighted SVD-Stack	0.0	53	0.015404326411880633
2	1898	Weighted SVD-Stack	0.0	54	0.000693000706564515
2	1898	Weighted SVD-Stack	0.0	55	0.0409247071417159
2	1898	Weighted SVD-Stack	0.0	56	0.05713859090879715
2	1898	Weighted SVD-Stack	0.0	57	0.00038359917112357027
2	1898	Weighted SVD-Stack	0.0	58	0.03501324551054247
2	1898	Weighted SVD-Stack	0.0	59	0.0035215419827413757
2	1898	Weighted SVD-Stack	0.0	60	0.0006516029415693784
2	1898	Weighted SVD-Stack	0.0	61	0.09980267329170855
